JACK IN THE BOX                                   18008     
JM FAMILY                                         02007     
JOHNS MANVILLE                                    19014     
JOHNSON & JOHNSON                                 16009     
JOHNSON                                           02002     
JONES                                             09001     
KELLWOOD                                          08007     
KELLY                                             10020     
KEMPER                                            17004     
KEYCORP                                           14008     
KIMBERLY-CLARK                                    09007     
KINDRED                                           16001     
KINKO'S                                           08008     
KMART                                             24006     
KNIGHT RIDDER                                     21010     
KPMG                                              10012     
KRAFT                                             15011     
KROGER                                            09006     
LABORATORY CORP OF AMERICA                        16007     
LAFARGE                                           20001     
LANDAMERICA                                       17002          
LANDS' END                                        24006     
LANDSTAR                                          27005     
LANE                                              23006     
LANIER                                            06008     
LEGGETT & PLATT                                   08007     
LENNAR                                            23012     
LIZ CLAIBORNE                                     09001     
LOCKHEED MARTIN                                   01002     
LOUISIANA-PACIFIC                                 20002     
LOWE'S                                            24010     
LSI                                               12011     
LUBRIZOL                                          04004     
LYONDELL                                          04003     
MAIL-WELL                                         10018     
MANPOWER                                          10020     
MARITZ                                            10012     
MARKEL                                            17005     
MARRIOTT                                          18005     
MARSH                                             17007     
MARTIN MARIETTA                                   20002     
MASSMUTUAL                                        17003     
MCCARTHY                                          23012     
MCCORMICK                                         15017     
MEADWESTVACO                                      19017     
MELLON                                            14001     
MENASHA                                           19018     
MENLO                                             27005     
MEN'S WEARHOUSE                                   09001     
MGM MIRAGE                                        18002     
MICRON                                            05006     
MICROSOFT                                         06007     
MILLENNIUM                                        04004     
MINNESOTA LIFE INSURANCE                          17003     
MIRANT                                            28003     
MITSUBISHI                                        02001     
MONY                                              14008     
MORTENSON                                         20008     
MTS                                               24004     
MUTUAL OF OMAHA                                   17003     
NATIONAL CITY                                     03001     
NATIONAL SEMICONDUCTOR                            12012     
NATIONWIDE INSURANCE                              17004     
NCR                                               10016     
NEW YORK LIFE                                     17003
NEW YORK POWER AUTHORITY                          28003     
NEW YORK TIMES                                    21009     
NEXTEL                                            26010     
NORTEL                                            26009     
NORTH AMERICAN VAN LINES                          27005     
NORTHERN TRUST                                    14002     
NORTHROP GRUMMAN                                  01002     
NORTHWESTERN MUTUAL                               14002     
NOVEON                                            04002     
NUCOR                                             22010     
OCCIDENTAL PETROLEUM                              13003     
OFFICE DEPOT                                      25007     
OGILVY & MATHER                                   10022     
OHIO CASUALTY                                     17005     
ORACLE                                            06005     
OWENS & MINOR                                     16006     
OWENS CORNING                                     09002     
OWENS ILLINOIS                                    19017     
PACCAR                                            02008     
PACIFIC LIFE                                      02008     
PACIFICARE                                        17002     
PACIFICORP                                        28003     
PACTIV                                            19017     
PANASONIC                                         12006     
PARKER HANNIFIN                                   12004     
PARSONS                                           19002     
PATHMARK                                          24006     
PEABODY                                           22002     
PENSKE                                            10004     
PEOPLE'S                                          28002     
PEOPLESOFT                                        06015     
PEROT                                             10016     
PETSMART                                          24009     
PHOENIX                                           06015     
PIER 1 IMPORTS                                    24006     
PINNACLE                                          28002     
PIONEER-STANDARD                                  10012     
PNC                                               14008     
POLYONE                                           04006     
PPG                                               04005     
PRAXAIR                                           04006     
PRINCIPAL FINANCIAL                               14008     
PROGRESS                                          28003     
PROGRESIVE                                        17002     
PROVIDIAN                                         14003     
PRUDENTIAL                                        14001     
PULTE                                             23012     
PURITY                                            15013     
QUAD/GRAPHICS                                     10018     
QUEST                                             16007     
QVC                                               24006     
RR DONNELLEY & SONS                               26003     
RALEY'S                                           24006     
RAYONIER                                          20006     
RAYTHEON                                          01003     
READER'S DIGEST                                   21011     
REGIONS                                           14008     
RELIANT                                           28003     
REXEL                                             19015     
REYNOLDS & REYNOLDS                               02002     
RIVERWOOD                                         19017     
ROADWAY EXPRESS                                   27005     
ROYAL CARIBBEAN                                   18011     
RYDER                                             27005     
SC JOHNSON                                        09004     
SAAB                                              02001     
SAFEGUARD                                         10016     
SAKS                                              24006     
SALLIE MAE                                        14004     
SANMINA-SCI                                       12006     
SAS                                               10021     
SAVE MART                                         24006     
SBC                                               26005     
SCHNEIDER                                         10016          
SCHREIBER                                         15010     
SCHWAN'S                                          15014     
SCIENTIFIC-ATLANTA                                26008     
SEALED AIR                                        19017     
SEARS                                             24006     
SEARS, ROEBUCK                                    24006     
SEEBEYOND                                         06012
SERVICE CORP                                      10017     
SHAW                                              20002
SHAW INDUSTRIES                                   20002     
SHEETZ                                            18008     
SHERWIN-WILLIAMS                                  04004     
SIEMENS                                           16008     
SIGMA-ALDRICH                                     16007     
SILICON GRAPHICS                                  05003     
SISTERS OF MERCY                                  16010     
SMART & FINAL                                     24006     
SMITHFIELD                                        15016     
SNAP-ON                                           19016     
SODEXHO                                           10008     
SOFTWARE SPECTRUM                                 06003     
SOLECTRON                                         12003     
SONOCO                                            19017     
SOUTHERN CO                                       28002      
SOUTHWIRE                                         19023     
SPHERION                                          10020     
SPRINT                                            26010     
SPX                                               10016     
ST JOSEPH                                         16010     
STANDARD PACIFIC                                  23012     
STANDARD REGISTER                                 06008     
STAPLES                                           25007     
STATE FARM                                        17007     
STATE STREET                                      03001     
STEELCASE                                         10012     
STOLT-NIELSEN                                     27005     
STORA ENSO                                        19018     
STORAGE TECHNOLOGY                                05002     
SUBARU                                            02001     
SUN HEALTHCARE                                    16001     
SUN MICROSYSTEMS                                  05003     
SUNBEAM                                           08001     
SUPERIOR ESSEX                                    26009     
SUPERVALU                                         24006     
SUTTER                                            16003     
SYNNEX                                            12003     
TECUMSEH                                          19004     
TENET                                             16003     
TENNESSEE VALLEY AUTHORITY                        28006     
TESORO                                            08002     
TEXAS HEALTH                                      10005     
TEXAS INSTRUMENTS                                 12004     
TIAA-CREF                                         13007     
TIFFANY                                           09001     
TOLL BROTHERS                                     23012
TORCHMARK                                         02008     
TOWER                                             02002     
TOWERS PERRIN                                     10012     
TRANSAMERICA                                      02008     
TRANSAMMONIA                                      04001     
TRUMAN ARNOLD                                     13007     
TRUSERV                                           08003     
TYCO                                              19014     
TYSON                                             15011     
UBS PAINEWEBBER                                   14008     
UNIFI                                             04005     
UNIFIED WESTERN GROCERS                           15013     
UNIGROUP                                          27005     
UNION BANK OF CALIFORNIA                          04001     
UNION PACIFIC                                     27005
UNISYS                                            06018          
UNITED AIRLINES                                   27003
UNITED PARCEL SERVICE                             27001     
UNITED STATIONERS                                 25005     
UNIVERSAL FOREST                                  20006     
UNIVERSAL HEALTH                                  16010     
UNOCAL                                            28002     
UPMC                                              16007     
VANGUARD                                          14001     
VARCO                                             13002     
VENTURA                                           15013     
VERIZON                                           26010     
VF                                                09001     
VIEWSONIC                                         12003     
VISA                                              14003     
VOLT                                              06012     
WALLACE                                           06012     
WAL-MART                                          24006     
WASTE MANAGEMENT                                  20011     
WATKINS                                           27005     
WATSCO                                            19005     
WEIRTON                                           22010     
WESTERN DIGITAL                                   05002     
WESTPOINT STEVENS                                 08003     
WHEELS                                            27004     
WHIRLPOOL                                         19005     
WL GORE & ASSOCIATES                              12003     
WORTHINGTON                                       22009     
WW GRAINGER                                       08007     
WYETH                                             11001     
WYNDHAM                                           18005     
XCEL                                              28003     
XEROX                                             12003     
XILINX                                            12006     
YELLOW                                            27005     
YUM!                                              15011     
ZIONS                                             03001     
